Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
script mode,Chrome 120.0.0.0,,,28-01-2024 03:04:05,28-01-2024 03:04:37,32.128s,PASSED
,,,,,,,
Test Cases/TC_Amazon/Script mode/TC_Amazonhome_Validate_Todays_Deals_006,Chrome 120.0.0.0,,,28-01-2024 03:04:06,28-01-2024 03:04:37,31.817s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,28-01-2024 03:04:06,28-01-2024 03:04:09,2.837s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,28-01-2024 03:04:09,28-01-2024 03:04:12,2.760s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_TodaysDeals_OR/Page_Amazon.com. Spend less. Smile more/input_a-button-input""))",Chrome 120.0.0.0,,,28-01-2024 03:04:12,28-01-2024 03:04:28,16.404s,PASSED
"click(findTestObject(""Object Repository/AmazonHome_Validate_TodaysDeals_OR/Page_Amazon.com. Spend less. Smile more/a_Todays Deals""))",Chrome 120.0.0.0,,,28-01-2024 03:04:28,28-01-2024 03:04:35,6.588s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AmazonHome_Validate_TodaysDeals_OR/Page_Amazon  Deals/div_Todays Deals                        Cou_7c1b01""), 0)",Chrome 120.0.0.0,,,28-01-2024 03:04:35,28-01-2024 03:04:37,2.405s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,28-01-2024 03:04:37,28-01-2024 03:04:37,0.320s,PASSED
